C1,Data,Palettes,Pivot field names,key
C5,#dfb0c7,P1,Serious3,aldceid
C5,#dfb0c7,P3,Serious3,aldceid
C5,#dfb0c7,P5,Disturbing2,aldceid
C5,#eac793,P5,Disturbing3,alj
C3,#1b4c79,P5,Negative3,aafes
C5,#f80f19,P2,Serious2,amvb
C5,#f80f19,P2,Trustworthy3,amvb
C5,#f80f19,P3,Trustworthy3,amvb
C5,#f80f19,P5,Playful1,amvb
C5,#f80f19,P5,Positive1,amvb
C5,#f80f19,P5,Trustworthy2,amvb
C5,#f80f19,P5,Trustworthy3,amvb
C5,#f9468c,P2,Serious3,anau
C4,#863e85,P5,Negative3,afvtqju
C5,#f9468c,P5,Serious3,anau
C5,#ff8000,P1,Calm3,aijqmq
C5,#ff8000,P2,Calm3,aijqmq
C5,#0073aa,P5,Negative3,aeewmcsb
C5,#ff8000,P3,Calm2,aijqmq
C5,#ff8000,P3,Calm3,aijqmq
C5,#ff8000,P4,Calm2,aijqmq
C5,#ff8000,P4,Calm3,aijqmq
C5,#ff8000,P4,Trustworthy1,aijqmq
C5,#ff8000,P5,Calm2,aijqmq
C5,#ff8000,P5,Calm3,aijqmq
C5,#ffab1c,P1,Trustworthy2,bab
C5,#ffab1c,P3,Trustworthy1,bab
